Distance Range,Point Count
0.000-0.005,2682
0.005-0.010,4978
0.010-0.015,3653
0.015-0.020,8925
0.020-0.025,17561
0.025-0.030,23275
0.030-0.035,24062
0.035-0.040,22766
0.040-0.045,10785
0.045-0.050,5153
0.050-0.055,2864
0.055-0.060,844
0.060-0.065,249
0.065-0.070,14
0.070-0.075,62
0.075-0.080,230
0.080-0.085,103
0.085-0.090,64
0.090-0.095,75
0.095-0.100,94
0.100-0.105,10
0.105-0.110,0
0.110-0.115,0
0.115-0.120,0
0.120-0.125,0
0.125-0.130,0
0.130-0.135,0
0.135-0.140,0
0.140-0.145,0
0.145-0.150,0
0.150-0.155,0
0.155-0.160,0
0.160-0.165,0
0.165-0.170,0
0.170-0.175,0
0.175-0.180,0
0.180-0.185,0
0.185-0.190,0
0.190-0.195,0
0.195-0.200,0
0.200-0.205,0
0.205-0.210,0
0.210-0.215,0
0.215-0.220,0
0.220-0.225,0
0.225-0.230,0
0.230-0.235,0
0.235-0.240,0
0.240-0.245,0
0.245-0.250,0
